id,item_count,total_item_price,total_payment_value,total_freight_value,review_score,order_purchase_month,order_purchase_day,order_purchase_dayofweek,order_purchase_hour,order_purchase_time_day,until_shipped_waiting_hours,until_delivered_waiting_hours,total_package_volume,total_package_weight_g,delivery_efficiency,total_delivered_waiting_day,is_shipping_delayed,is_delivered_delayed,geo_distance,customer_state_region_type,seller_state_region_type,review_type,logistics_delay_hours,RFM_type,seller_level,product_type4,product_category6,package_kmeans,price_kmeans
6542,1,1,1,0,5,5,2,3,19,1,1,1,1,2,1,1,0,0,0,3,3,1,1,2,1,3,5,0,3
2982,2,2,2,1,5,6,19,2,9,0,1,1,0,0,1,1,0,0,0,3,3,1,1,4,0,3,5,0,0
484,1,2,2,0,5,7,24,2,11,1,0,1,2,2,1,1,0,0,0,3,3,1,1,2,1,3,4,0,0
5714,1,2,2,0,5,7,28,5,5,0,1,1,1,2,1,1,0,0,0,3,3,1,1,3,1,4,1,0,0
7856,1,0,0,0,5,6,4,1,18,1,1,1,1,1,1,1,0,0,0,3,3,1,1,2,1,3,5,0,3
4028,1,1,1,1,5,5,30,2,17,1,1,1,0,1,1,1,0,0,2,3,2,1,1,1,0,4,1,0,3
4360,1,1,1,0,5,8,6,1,19,1,1,1,1,1,1,1,0,0,1,2,2,1,1,2,0,3,1,0,3
3954,1,0,0,2,4,4,20,5,14,1,1,1,0,0,1,1,0,0,2,2,3,1,1,2,0,3,5,0,3
385,1,0,0,1,5,4,18,3,13,1,1,1,1,0,1,1,0,0,0,2,3,1,1,2,0,3,4,0,3
6987,1,0,0,1,5,5,15,1,12,1,1,1,0,0,1,1,0,0,2,3,1,1,1,1,0,1,2,0,3
3155,1,0,0,1,5,9,5,2,11,1,1,1,1,0,1,1,0,0,2,2,2,1,1,1,0,3,4,0,3
5092,1,0,0,0,5,4,23,1,10,1,1,1,0,0,1,1,0,0,1,3,3,1,1,2,1,3,4,0,3
9080,1,0,0,0,1,1,28,0,22,0,1,1,2,0,1,1,0,0,2,3,3,0,1,2,0,1,4,2,3
9525,1,0,0,1,4,1,29,1,10,1,0,1,0,1,1,1,0,0,2,3,3,1,1,2,0,2,6,0,3
7183,1,0,0,1,5,7,18,3,19,1,1,1,0,0,1,1,0,0,2,2,3,1,1,2,1,3,2,0,3
1854,1,0,0,0,5,8,11,6,22,0,1,1,0,0,1,1,0,1,0,3,3,1,0,2,0,1,3,0,3
1752,1,0,0,0,5,12,20,3,12,1,1,1,1,0,1,1,0,0,0,3,3,1,1,1,0,3,5,0,3
4092,1,0,0,1,3,5,23,3,8,0,1,1,0,0,0,1,0,1,1,2,3,0,0,2,0,3,6,0,3
6294,1,0,0,0,5,7,4,3,20,1,0,1,0,0,1,1,0,0,0,2,2,1,1,2,0,3,5,0,3
8144,1,2,1,0,1,9,8,5,8,0,1,1,0,0,1,1,0,0,0,3,3,0,1,1,1,4,1,0,3
4257,1,0,0,1,5,8,24,5,14,1,0,1,0,0,1,1,0,0,1,2,3,1,1,2,0,1,2,0,3
4916,1,1,1,2,4,6,29,5,8,0,1,1,0,0,1,1,0,0,1,2,3,1,1,2,0,3,2,0,3
2902,1,2,2,2,5,7,2,1,12,1,1,1,0,0,1,1,0,0,2,2,1,1,1,4,0,3,2,0,3
4705,1,1,1,0,5,5,11,5,9,0,1,1,0,0,1,1,0,0,0,3,3,1,1,2,0,2,6,0,3
8489,1,0,0,1,5,7,26,4,1,0,1,1,0,0,1,1,0,0,0,2,3,1,1,2,1,4,1,0,3
6351,1,0,0,1,5,4,22,0,16,1,0,1,0,0,1,1,0,0,2,3,3,1,1,2,1,3,5,0,3
11292,1,2,2,1,4,8,30,3,6,0,1,1,0,1,1,1,0,0,1,2,3,1,1,3,1,4,1,0,3
3409,1,1,1,2,4,4,18,3,8,0,1,1,0,1,1,1,0,0,1,2,3,1,1,2,0,3,5,0,3
8357,1,2,2,0,5,4,30,1,7,0,1,1,0,1,1,1,0,0,0,3,3,1,1,4,0,4,1,0,3
8052,1,2,2,2,1,10,27,5,11,1,1,1,2,2,1,1,0,0,0,3,3,0,1,3,0,4,1,2,0
57,1,0,0,0,5,6,11,1,8,0,1,1,1,0,1,1,0,0,0,3,3,1,1,2,0,2,2,0,3
4660,2,2,2,2,5,5,23,2,10,1,1,1,1,2,1,1,0,0,1,3,2,1,1,3,1,3,1,0,0
11331,1,1,1,2,5,8,13,1,8,0,1,1,2,2,1,1,0,0,1,3,3,1,1,2,0,3,4,2,3
1413,2,1,2,2,5,7,22,0,17,1,1,1,2,2,1,1,0,0,1,3,3,1,1,4,1,3,5,1,3
11689,1,2,2,2,5,8,3,5,21,1,1,1,2,2,1,1,0,0,0,3,2,1,1,4,0,2,3,2,1
8042,1,2,2,2,5,6,12,2,10,1,1,1,2,2,1,1,0,0,2,2,3,1,1,4,0,2,2,2,1
3291,1,1,1,1,5,4,11,3,22,0,1,1,0,0,1,1,0,0,0,3,2,1,1,2,1,3,5,0,3
5327,2,1,1,2,1,9,14,4,8,0,1,1,2,2,0,1,0,1,0,3,3,0,0,1,1,3,5,2,3
8127,1,1,1,2,1,6,12,2,13,1,0,1,1,2,0,1,0,1,2,2,2,0,0,2,1,3,6,0,3
9016,1,2,2,1,1,6,29,4,19,1,1,1,1,2,0,1,0,1,1,3,3,0,0,3,0,1,6,0,0
